0,34,49,59,71,35,46,28,46,33,9,59,55,28,32
34,0,79,93,103,69,80,32,63,68,35,71,61,8,25
49,79,0,33,26,21,16,53,34,25,45,46,54,75,64
59,93,33,0,26,25,18,76,66,26,60,78,85,86,99
71,103,26,26,0,37,26,79,59,40,69,68,78,98,30
35,69,21,25,37,0,11,50,44,4,35,58,63,63,12
46,80,16,18,26,11,0,59,47,14,45,60,67,74,33
28,32,53,76,79,50,59,0,31,51,20,39,31,32,8
46,63,34,66,59,44,47,31,0,47,37,14,20,62,17
33,68,25,26,40,4,14,51,47,0,34,61,65,61,25
9,35,45,60,69,35,45,20,37,34,0,50,46,30,65
59,71,46,78,68,58,60,39,14,61,50,0,13,71,90
55,61,54,85,78,63,67,31,20,65,46,13,0,63,11
28,8,75,86,98,63,74,32,62,61,30,71,63,0,29
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
